assessment score 1,assessment score 2
37,12
72,9
75,5
79,64
16,1
76,71
6,25
50,20
18,84
11,28
29,14
50,68
87,87
94,96
86,13
9,7
63,61
22,57
1,0
60,81
8,88
13,47
72,30
71,3
70,21
49,57
3,68
24,43
76,26
52,80
41,82
15,64
68,25
98,87
7,26
25,22
9,67
23,27
37,57
83,38
8,32
34,10
23,15
87,25
71,92
74,62
46,32
88,23
55,65
77,3
0,77
6,52
85,70
2,76
91,21
75,7
NA,72
75,76
43,20
30,36
7,45
68,57
82,96
13,10
23,81
7,24
74,92
20,32
12,65
94,60
24,82
97,2
92,98
10,54
96,82
86,70
66,71
48,54
15,5
17,42
20,48
22,13
97,53
84,10
96,55
61,56
89,21
96,83
25,14
13,84
43,6
77,56
59,15
24,9
66,71
53,69
36,21
40,77
91,49
47,77
40,78
45,87
16,28
45,67
66,78
46,0
29,63
75,35
53,93
33,2
84,83
48,54
32,28
55,82
31,28
94,74
8,99
32,8
84,77
50,79
41,64
83,24
20,44
15,30
91,14
19,26
86,7
99,53
47,60
34,32
19,67
24,83
94,38
47,5
79,63
87,32
42,74
66,88
98,30
17,68
64,60
78,17
39,35
81,28
22,38
41,74
77,70
25,48
50,62
44,54
0,86
16,19
NA,92
51,10
68,23
14,63
21,46
3,56
88,80
46,54
79,71
14,77
15,25
53,84
58,85
29,44
37,22
91,54
76,12
59,26
76,71
87,39
43,76
38,91
69,98
33,43
26,56
69,73
52,89
27,43
1,82
94,96
26,84
30,64
22,98
52,3
70,12
39,83
48,61
70,13
36,23
22,66
92,95
53,9
41,57
88,93
76,82
11,36
16,30
84,57
35,41
81,2
85,93
36,46
80,27
72,28
2,99
13,41
36,40
18,97
38,63
46,89
2,98
28,78
75,58
42,26
21,58
16,92
37,11
22,6
96,14
87,75
35,63
32,91
49,0
22,97
70,36
18,27
28,52
94,50
46,7
NA,16
29,11
61,14
30,8
40,48
30,23
66,92
64,12
17,#
10,28
75,5
81,5
42,86
52,57
56,78
87,81
10,72
48,19
12,25
77,16
4,88
27,50
68,3
58,12
2,76
96,96
61,15
74,12
18,30
59,5
16,95
96,60
43,31
99,44
24,62
79,21
19,77
33,4
39,67
34,34
42,78
82,38
48,81
5,91
NA,40
69,5
7,78
37,78
33,27
51,77
30,43
46,9
67,3
67,54
97,63
99,80
28,37
64,37
93,18
78,70
92,52
10,32
46,63
93,18
36,29
39,28
54,29
55,90
27,60
12,17
71,91
7,83
56,51
32,76
62,51
96,30
22,5
91,95
22,76
22,18
93,29
18,52
31,49
98,83
93,45
51,86
15,71
48,28
83,27
43,19
79,70
88,86
11,65
93,15
51,98
86,45
63,42
22,82
40,44
16,17
88,0
97,82
71,14
36,26
32,1
48,88
22,34
94,21
68,67
48,18
97,11
11,52
76,68
45,64
89,40
7,7
33,58
7,34
4,5
61,50
76,45
96,21
92,71
92,25
97,1
13,38
85,27
38,84
33,1
31,38
28,75
99,31
51,66
67,32
74,32
97,5
0,37
72,43
24,16
96,96
41,24
21,27
46,35
62,68
62,32
45,88
42,57
25,32
33,6
65,51
31,7
13,3
28,15
29,66
61,83
96,58
82,34
30,57
96,49
46,83
41,20
40,50
4,9
0,90
21,74
21,#
38,37
43,#
95,41
71,69
70,23
86,39
31,37
38,56
87,28
36,66
10,84
0,16
30,3
78,59
53,69
49,74
46,27
33,72
68,39
32,97
7,#
62,14
77,43
61,85
36,12
53,26
82,99
12,99
25,1
41,55
55,64
15,92
40,60
70,49
50,32
90,20
52,38
65,80
57,52
89,19
94,64
42,47
21,97
1,89
38,12
18,77
77,88
90,83
39,98
15,37
96,36
98,1
32,30
7,50
50,32
43,41
69,1
97,51
30,82
49,81
82,95
71,21
18,46
44,91
9,4
77,63
23,95
59,64
82,31
1,84
78,68
54,25
83,27
56,92
8,55
76,46
49,11
8,61
74,23
88,89
82,82
5,42
46,21
51,73
42,13
18,23
45,95
52,#
54,14
57,61
40,72
65,22
2,86
1,72
51,71
87,77
62,48
0,42
39,3
57,43
53,43
74,98
97,75
59,66
74,91
5,26
67,31
11,3
54,1
13,59
56,81
8,38
4,70
76,73
5,79
84,59
31,90
7,66
32,46
75,82
44,64
37,47
73,90
84,15
65,52
69,66
89,28
19,17
5,79
10,29
17,81
46,7
17,86
61,64
7,29
55,28
99,43
98,55
5,50
92,63
52,34
98,83
77,37
89,54
4,43
11,29
76,89
32,50
51,42
23,89
43,88
95,28
64,86
58,88
51,22
10,31
9,6
30,67
18,12
73,74
91,65
85,53
42,6
9,36
87,59
8,53
87,18
21,67
14,20
85,9
42,66
20,16
58,77
42,35
75,28
85,34
44,92
82,8
30,64
77,18
38,11
56,52
83,76
68,25
99,69
31,59
62,29
66,32
71,60
93,72
27,97
93,68
38,60
97,9
67,78
63,20
35,55
28,45
92,56
51,4
79,75
31,76
52,38
83,80
74,70
26,57
30,99
64,38
18,95
41,95
57,48
42,52
22,64
70,61
60,96
27,0
26,50
